response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0393,0.0002,0.0000,0.0000,0.0390,0.0001,200,1.4387
0.0455,0.0001,0.0000,0.0000,0.0453,0.0001,200,1.4332
0.0386,0.0002,0.0000,0.0001,0.0382,0.0001,200,1.4427
0.0412,0.0002,0.0000,0.0000,0.0408,0.0001,200,1.4534
0.0469,0.0002,0.0000,0.0000,0.0465,0.0001,200,1.4534
0.0423,0.0001,0.0000,0.0000,0.0420,0.0001,200,1.4681
0.0454,0.0002,0.0000,0.0000,0.0450,0.0001,200,1.4675
0.0356,0.0001,0.0000,0.0000,0.0354,0.0001,200,1.4788
0.0464,0.0002,0.0000,0.0001,0.0459,0.0001,200,1.4749
0.0476,0.0002,0.0000,0.0001,0.0472,0.0001,200,1.4780
0.0451,0.0002,0.0000,0.0001,0.0448,0.0001,200,1.4814
0.0436,0.0002,0.0000,0.0001,0.0432,0.0001,200,1.4946
0.0383,0.0001,0.0000,0.0000,0.0381,0.0000,200,1.5003
0.0378,0.0002,0.0000,0.0000,0.0374,0.0001,200,1.5104
0.0394,0.0002,0.0000,0.0000,0.0390,0.0001,200,1.5129
0.0379,0.0002,0.0000,0.0001,0.0374,0.0001,200,1.5213
0.0455,0.0002,0.0000,0.0000,0.0451,0.0001,200,1.5144
0.0377,0.0002,0.0000,0.0001,0.0373,0.0001,200,1.5256
0.0424,0.0001,0.0000,0.0000,0.0421,0.0001,200,1.5265
0.0411,0.0002,0.0000,0.0000,0.0406,0.0002,200,1.5482
0.0529,0.0001,0.0000,0.0000,0.0525,0.0001,200,1.5382
0.0526,0.0001,0.0000,0.0000,0.0524,0.0001,200,1.5387
0.0361,0.0001,0.0000,0.0000,0.0358,0.0001,200,1.5598
0.0451,0.0002,0.0000,0.0001,0.0448,0.0001,200,1.5523
0.0390,0.0002,0.0000,0.0001,0.0387,0.0000,200,1.5592
0.0356,0.0002,0.0000,0.0001,0.0352,0.0001,200,1.5689
0.0468,0.0002,0.0000,0.0001,0.0464,0.0001,200,1.5633
0.0364,0.0002,0.0000,0.0001,0.0360,0.0001,200,1.5893
0.0372,0.0001,0.0000,0.0000,0.0370,0.0001,200,1.5910
0.0327,0.0002,0.0000,0.0001,0.0323,0.0001,200,1.6045
0.0495,0.0001,0.0000,0.0000,0.0492,0.0001,200,1.5912
0.0508,0.0002,0.0000,0.0000,0.0504,0.0001,200,1.5959
0.0369,0.0002,0.0000,0.0001,0.0366,0.0001,200,1.6101
0.0508,0.0001,0.0000,0.0000,0.0506,0.0000,200,1.5974
0.0514,0.0001,0.0000,0.0000,0.0512,0.0000,200,1.5982
0.0399,0.0001,0.0000,0.0000,0.0396,0.0001,200,1.6283
0.0430,0.0002,0.0000,0.0000,0.0426,0.0001,200,1.6257
0.0347,0.0002,0.0000,0.0001,0.0343,0.0001,200,1.6372
0.0354,0.0001,0.0000,0.0000,0.0351,0.0001,200,1.6483
0.0430,0.0002,0.0000,0.0001,0.0425,0.0001,200,1.6407
0.0423,0.0002,0.0000,0.0001,0.0419,0.0001,200,1.6467
0.0466,0.0001,0.0000,0.0000,0.0463,0.0001,200,1.6470
0.0452,0.0001,0.0000,0.0000,0.0450,0.0000,200,1.6496
0.0376,0.0001,0.0000,0.0000,0.0373,0.0001,200,1.6687
0.0407,0.0002,0.0000,0.0000,0.0403,0.0001,200,1.6719
0.0477,0.0002,0.0000,0.0001,0.0473,0.0001,200,1.6682
0.0344,0.0003,0.0000,0.0001,0.0339,0.0001,200,1.6890
0.0471,0.0002,0.0000,0.0000,0.0467,0.0001,200,1.6837
0.0362,0.0001,0.0000,0.0000,0.0360,0.0000,200,1.6949
0.0410,0.0002,0.0000,0.0000,0.0406,0.0001,200,1.6936
0.0533,0.0002,0.0000,0.0000,0.0530,0.0001,200,1.6837
0.0370,0.0002,0.0000,0.0001,0.0366,0.0001,200,1.7063
0.0367,0.0002,0.0000,0.0000,0.0362,0.0001,200,1.7126
0.0444,0.0001,0.0000,0.0000,0.0441,0.0001,200,1.7160
0.0404,0.0002,0.0000,0.0001,0.0399,0.0001,200,1.7234
0.0358,0.0001,0.0000,0.0000,0.0356,0.0001,200,1.7311
0.0362,0.0002,0.0000,0.0001,0.0358,0.0001,200,1.7347
0.0409,0.0002,0.0000,0.0001,0.0405,0.0001,200,1.7308
0.0407,0.0002,0.0000,0.0000,0.0403,0.0001,200,1.7370
0.0483,0.0002,0.0000,0.0001,0.0479,0.0001,200,1.7434
0.0511,0.0002,0.0000,0.0001,0.0506,0.0001,200,1.7493
0.0451,0.0002,0.0000,0.0001,0.0446,0.0001,200,1.7604
0.0359,0.0002,0.0000,0.0001,0.0356,0.0000,200,1.7709
0.0408,0.0002,0.0000,0.0001,0.0404,0.0001,200,1.7669
0.0475,0.0002,0.0000,0.0001,0.0470,0.0001,200,1.7638
0.0447,0.0001,0.0000,0.0000,0.0444,0.0001,200,1.7716
0.0393,0.0002,0.0000,0.0001,0.0390,0.0000,200,1.7777
0.0411,0.0002,0.0000,0.0001,0.0407,0.0001,200,1.7917
0.0427,0.0002,0.0000,0.0001,0.0422,0.0001,200,1.8004
0.0340,0.0001,0.0000,0.0001,0.0337,0.0001,200,1.8113
0.0389,0.0001,0.0000,0.0000,0.0386,0.0001,200,1.8077
0.0449,0.0002,0.0000,0.0001,0.0446,0.0001,200,1.8055
0.0347,0.0001,0.0000,0.0000,0.0345,0.0000,200,1.8163
0.0360,0.0001,0.0000,0.0000,0.0358,0.0001,200,1.8170
0.0549,0.0001,0.0000,0.0000,0.0546,0.0001,200,1.8068
